epoch	time	lr	train loss	train acc	testloss	test acc
122	0:0	0.001	0.648	77.1	0.703	75.0
123	0:0	0.001	0.647	77.1	0.699	75.6
124	0:0	0.001	0.644	77.2	0.706	75.3
125	0:0	0.001	0.644	77.5	0.692	75.4
126	0:0	0.001	0.643	77.3	0.693	75.7
127	0:0	0.001	0.639	77.7	0.691	75.7
128	0:0	0.001	0.636	77.6	0.693	75.5
129	0:0	0.001	0.634	77.8	0.684	75.8
130	0:0	0.001	0.631	77.7	0.689	75.7
131	0:0	0.001	0.627	77.9	0.689	76.0
132	0:0	0.001	0.629	77.8	0.685	76.1
133	0:0	0.001	0.625	78.0	0.681	76.2
134	0:0	0.001	0.621	78.2	0.689	75.6
135	0:0	0.001	0.624	78.0	0.683	76.0
136	0:0	0.001	0.62	78.0	0.69	75.8
137	0:0	0.001	0.617	78.3	0.678	76.1
138	0:0	0.001	0.613	78.2	0.691	75.3
139	0:0	0.001	0.617	78.4	0.69	76.1
140	0:0	0.001	0.612	78.5	0.676	76.3
141	0:0	0.001	0.61	78.5	0.677	76.3
142	0:0	0.001	0.607	78.6	0.674	76.5
143	0:0	0.001	0.607	78.6	0.671	76.5
144	0:0	0.001	0.607	78.4	0.666	76.7
145	0:0	0.001	0.6	78.9	0.678	76.8
146	0:0	0.001	0.601	78.9	0.667	76.7
147	0:0	0.001	0.599	78.9	0.667	76.7
148	0:0	0.001	0.599	78.9	0.664	77.0
149	0:0	0.001	0.596	79.1	0.655	76.9
150	0:0	0.001	0.595	79.0	0.662	77.0
151	0:0	0.001	0.587	79.3	0.661	77.2
152	0:0	0.001	0.588	79.4	0.652	77.4
153	0:0	0.001	0.588	79.3	0.655	76.9
154	0:0	0.001	0.589	79.3	0.649	77.5
155	0:0	0.001	0.587	79.4	0.672	76.6
156	0:0	0.001	0.582	79.5	0.664	77.1
157	0:0	0.001	0.581	79.5	0.655	77.4
158	0:0	0.001	0.579	79.6	0.651	77.7
159	0:0	0.001	0.579	79.7	0.645	77.6
